,X,Y,Z,Speed
375,-7124,-5388,483,184
376,-7126,-5396,483,189
377,-7149,-5478,483,193
378,-7158,-5514,483,198
379,-7170,-5565,483,199
380,-7191,-5673,482,200
381,-7193,-5692,481,201
382,-7208,-5812,481,214
383,-7214,-5875,482,218
384,-7219,-5997,481,222
385,-7220,-6060,482,224
386,-7221,-6140,482,226
387,-7204,-6232,482,228
388,-7142,-6380,481,231
389,-7114,-6437,480,234
390,-7059,-6536,480,235
391,-6917,-6769,480,244
392,-6905,-6808,480,244
393,-6865,-6945,479,245
394,-6846,-7021,479,247
395,-6822,-7117,478,249
396,-6807,-7193,478,249
397,-6801,-7231,479,239
398,-6788,-7310,479,229
399,-6778,-7378,479,218
400,-6765,-7473,478,207
401,-6764,-7488,479,193
402,-6755,-7573,479,180
403,-6755,-7580,480,172
404,-6746,-7735,479,164
405,-6748,-7848,478,156
406,-6758,-7900,478,149
407,-6759,-7903,479,147
408,-6774,-7944,479,145
409,-6800,-7973,479,143
410,-6870,-8039,479,141
411,-6872,-8042,478,139
412,-6893,-8096,478,136
413,-6896,-8107,479,133
414,-6900,-8166,479,130
415,-6899,-8170,478,128
416,-6885,-8295,478,129
417,-6885,-8300,478,130
418,-6867,-8380,476,132
419,-6846,-8459,476,139
420,-6831,-8504,475,147
421,-6803,-8580,476,151
422,-6801,-8584,476,156
423,-6767,-8661,477,156
424,-6750,-8698,478,165
425,-6712,-8767,478,174
426,-6659,-8852,478,183
427,-6619,-8914,478,184
428,-6600,-8940,477,186
429,-6559,-8991,477,191
430,-6541,-9010,476,196
431,-6507,-9049,477,200
432,-6444,-9108,477,204
433,-6392,-9151,478,197
434,-6316,-9198,475,190
435,-6254,-9233,476,180
436,-6130,-9299,480,170
437,-6098,-9316,481,160
438,-6012,-9373,482,139
439,-6003,-9381,482,123
440,-5983,-9400,482,108
441,-5956,-9443,482,93
442,-5932,-9493,484,86
443,-5925,-9530,485,79
444,-5931,-9558,486,77
445,-5937,-9590,486,75
446,-5937,-9592,486,73
447,-5951,-9631,487,70
448,-5953,-9636,487,67
449,-5971,-9664,488,64
450,-5980,-9676,488,61
451,-5988,-9685,489,63
452,-6020,-9711,490,65
453,-6023,-9713,491,67
454,-6075,-9735,494,69
455,-6124,-9749,496,72
456,-6154,-9754,498,74
457,-6162,-9755,498,77
458,-6221,-9763,502,85
459,-6234,-9764,502,93
460,-6262,-9766,504,98
461,-6279,-9767,504,103
462,-6315,-9770,506,105
463,-6337,-9770,506,108
464,-6420,-9772,510,118
465,-6425,-9773,511,115
466,-6478,-9772,513,112
467,-6492,-9771,514,107
468,-6539,-9766,516,103
469,-6542,-9766,517,99
470,-6579,-9762,518,96
471,-6625,-9752,520,94
472,-6648,-9743,520,92
473,-6697,-9723,520,87
474,-6723,-9707,519,82
475,-6737,-9688,519,81
476,-6747,-9672,517,81
477,-6764,-9646,516,82
478,-6771,-9632,515,83
479,-6791,-9574,512,90
480,-6792,-9571,512,93
481,-6809,-9495,510,96
482,-6812,-9476,509,99
